"","X","SYMBOL","padj_species","padj_human","variable","value","L1"
"60","ENSG00000175946","KLHL38","","ns","human_related_squirrel_monkey ",5.85617558772192,"squirrel_monkey"
"61","ENSG00000141668","CBLN2","","ns","human_related_squirrel_monkey ",4.37768741882391,"squirrel_monkey"
"62","ENSG00000118113","MMP8","","ns","human_related_squirrel_monkey ",4.23860603206201,"squirrel_monkey"
"63","ENSG00000167105","TMEM92","","sig","human_related_squirrel_monkey ",3.48818452572418,"squirrel_monkey"
"64","ENSG00000155629","PIK3AP1","sig","","squirrel_monkey",5.73154495011991,"squirrel_monkey"
"65","ENSG00000168334","XIRP1","sig","","squirrel_monkey",1.12633867762003,"squirrel_monkey"
"66","ENSG00000084628","NKAIN1","sig","","squirrel_monkey",-0.0821642207088203,"squirrel_monkey"
"67","ENSG00000175946","KLHL38","sig","","squirrel_monkey",0.809107964478401,"squirrel_monkey"
"68","ENSG00000141668","CBLN2","sig","","squirrel_monkey",-0.342426144231439,"squirrel_monkey"
"69","ENSG00000118113","MMP8","sig","","squirrel_monkey",0.252057516604881,"squirrel_monkey"
"70","ENSG00000167105","TMEM92","sig","","squirrel_monkey",-1.45126791556126,"squirrel_monkey"
"71","ENSG00000155629","PIK3AP1","","sig","human_related_rhesus_macaque ",9.48059953147764,"rhesus_macaque"
"72","ENSG00000168334","XIRP1","","ns","human_related_rhesus_macaque ",6.21851758963268,"rhesus_macaque"
"73","ENSG00000084628","NKAIN1","","ns","human_related_rhesus_macaque ",6.10190474677137,"rhesus_macaque"
"74","ENSG00000175946","KLHL38","","sig","human_related_rhesus_macaque ",5.8632533980598,"rhesus_macaque"
"75","ENSG00000141668","CBLN2","","ns","human_related_rhesus_macaque ",4.66101225655716,"rhesus_macaque"
"76","ENSG00000118113","MMP8","","ns","human_related_rhesus_macaque ",4.23103120149099,"rhesus_macaque"
"77","ENSG00000167105","TMEM92","","ns","human_related_rhesus_macaque ",3.35768744199877,"rhesus_macaque"
"78","ENSG00000155629","PIK3AP1","sig","","rhesus_macaque",-1.0191327006024,"rhesus_macaque"
"79","ENSG00000168334","XIRP1","sig","","rhesus_macaque",-0.203872988496912,"rhesus_macaque"
"80","ENSG00000084628","NKAIN1","sig","","rhesus_macaque",-0.534024764582783,"rhesus_macaque"
"81","ENSG00000175946","KLHL38","sig","","rhesus_macaque",0.885726286349989,"rhesus_macaque"
"82","ENSG00000141668","CBLN2","sig","","rhesus_macaque",1.32111000671054,"rhesus_macaque"
"83","ENSG00000118113","MMP8","sig","","rhesus_macaque",-0.203882912609023,"rhesus_macaque"
"84","ENSG00000167105","TMEM92","sig","","rhesus_macaque",-0.604345036910017,"rhesus_macaque"
