"","X","SYMBOL","padj_species","padj_human","variable","value","L1"
"60","ENSG00000141668","CBLN2","","ns","human_related_squirrel_monkey ",4.47439422046956,"squirrel_monkey"
"61","ENSG00000118113","MMP8","","ns","human_related_squirrel_monkey ",4.2375180648928,"squirrel_monkey"
"62","ENSG00000243232","PCDHAC2","","ns","human_related_squirrel_monkey ",4.21890931755607,"squirrel_monkey"
"63","ENSG00000167105","TMEM92","","sig","human_related_squirrel_monkey ",3.45853152013576,"squirrel_monkey"
"64","ENSG00000155629","PIK3AP1","sig","","squirrel_monkey",5.85773070067254,"squirrel_monkey"
"65","ENSG00000168334","XIRP1","sig","","squirrel_monkey",1.22824803547614,"squirrel_monkey"
"66","ENSG00000084628","NKAIN1","sig","","squirrel_monkey",-0.319765206027276,"squirrel_monkey"
"67","ENSG00000141668","CBLN2","sig","","squirrel_monkey",-0.207071438411026,"squirrel_monkey"
"68","ENSG00000118113","MMP8","sig","","squirrel_monkey",0.240501390044283,"squirrel_monkey"
"69","ENSG00000243232","PCDHAC2","sig","","squirrel_monkey",-0.596523352142762,"squirrel_monkey"
"70","ENSG00000167105","TMEM92","sig","","squirrel_monkey",-1.44829318629655,"squirrel_monkey"
"71","ENSG00000155629","PIK3AP1","","sig","human_related_rhesus_macaque ",9.47478787396431,"rhesus_macaque"
"72","ENSG00000168334","XIRP1","","ns","human_related_rhesus_macaque ",6.21752307812035,"rhesus_macaque"
"73","ENSG00000084628","NKAIN1","","ns","human_related_rhesus_macaque ",6.11393908705152,"rhesus_macaque"
"74","ENSG00000141668","CBLN2","","ns","human_related_rhesus_macaque ",4.67056915831779,"rhesus_macaque"
"75","ENSG00000243232","PCDHAC2","","ns","human_related_rhesus_macaque ",4.25323460768108,"rhesus_macaque"
"76","ENSG00000118113","MMP8","","ns","human_related_rhesus_macaque ",4.22590894233426,"rhesus_macaque"
"77","ENSG00000167105","TMEM92","","ns","human_related_rhesus_macaque ",3.4504202854472,"rhesus_macaque"
"78","ENSG00000155629","PIK3AP1","sig","","rhesus_macaque",-0.996181648549498,"rhesus_macaque"
"79","ENSG00000168334","XIRP1","sig","","rhesus_macaque",-0.208790014348508,"rhesus_macaque"
"80","ENSG00000084628","NKAIN1","sig","","rhesus_macaque",-0.809075752395772,"rhesus_macaque"
"81","ENSG00000141668","CBLN2","sig","","rhesus_macaque",1.31443161576348,"rhesus_macaque"
"82","ENSG00000243232","PCDHAC2","sig","","rhesus_macaque",-0.061381082749321,"rhesus_macaque"
"83","ENSG00000118113","MMP8","sig","","rhesus_macaque",-0.208800291386072,"rhesus_macaque"
"84","ENSG00000167105","TMEM92","sig","","rhesus_macaque",-0.520537868217788,"rhesus_macaque"
"85","ENSG00000155629","PIK3AP1","","sig","human_related_pigtailed_macaque ",9.45601566118909,"pigtailed_macaque"
"86","ENSG00000168334","XIRP1","","ns","human_related_pigtailed_macaque ",6.20585377086219,"pigtailed_macaque"
"87","ENSG00000084628","NKAIN1","","sig","human_related_pigtailed_macaque ",6.07112000714655,"pigtailed_macaque"
"88","ENSG00000141668","CBLN2","","ns","human_related_pigtailed_macaque ",4.82238056962269,"pigtailed_macaque"
"89","ENSG00000118113","MMP8","","ns","human_related_pigtailed_macaque ",4.18993623318846,"pigtailed_macaque"
"90","ENSG00000243232","PCDHAC2","","ns","human_related_pigtailed_macaque ",4.181199653408,"pigtailed_macaque"
"91","ENSG00000167105","TMEM92","","sig","human_related_pigtailed_macaque ",3.35854475571798,"pigtailed_macaque"
"92","ENSG00000155629","PIK3AP1","sig","","pigtailed_macaque",0.626505784723134,"pigtailed_macaque"
"93","ENSG00000168334","XIRP1","sig","","pigtailed_macaque",1.64524187546573,"pigtailed_macaque"
"94","ENSG00000084628","NKAIN1","sig","","pigtailed_macaque",-0.805283098967185,"pigtailed_macaque"
"95","ENSG00000141668","CBLN2","sig","","pigtailed_macaque",0.40392485715108,"pigtailed_macaque"
"96","ENSG00000118113","MMP8","sig","","pigtailed_macaque",-1.64755563990502,"pigtailed_macaque"
"97","ENSG00000243232","PCDHAC2","sig","","pigtailed_macaque",-0.206220316251833,"pigtailed_macaque"
"98","ENSG00000167105","TMEM92","sig","","pigtailed_macaque",-1.05599281795942,"pigtailed_macaque"
"99","ENSG00000155629","PIK3AP1","","ns","human_related_olive_baboon ",9.47436953411827,"olive_baboon"
"100","ENSG00000168334","XIRP1","","ns","human_related_olive_baboon ",6.2229895747753,"olive_baboon"
"101","ENSG00000084628","NKAIN1","","sig","human_related_olive_baboon ",6.09544580345276,"olive_baboon"
