"","X","log2FoldChange_species_ref","padj_species_ref","SYMBOL_species_ref","log2FoldChange_human_ref","padj_human_ref","SYMBOL_human_ref","differs","significance","SYMBOL"
"370","ENSG00000106105",-1.31012410011752,9.80347647693115e-27,"GARS",-1.35622983167711,2.18312097903381e-28,"GARS","not","sig","GARS"
"371","ENSG00000123213",-0.917173533427711,1.04060030100601e-26,"NLN",-0.941349196858343,1.27010477918066e-31,"NLN","not","sig","NLN"
"372","ENSG00000171791",-1.57917658070992,1.04129509621055e-26,"BCL2",-1.72079275576909,9.98299737472806e-40,"BCL2","not","sig","BCL2"
"373","ENSG00000115129",-2.10229592740894,1.04778685877861e-26,"TP53I3",-2.06949540249538,3.93184762592834e-26,"TP53I3","not","sig","TP53I3"
"374","ENSG00000174136",1.55924324924879,1.10832457414926e-26,"RGMB",1.66245382745521,1.45155893637267e-32,"RGMB","not","sig","RGMB"
"375","ENSG00000133874",2.21815844767682,1.40728760402257e-26,"RNF122",1.91910770542127,3.88779751575073e-35,"RNF122","not","sig","RNF122"
"376","ENSG00000178719",1.58898319364593,1.48797957475817e-26,"GRINA",1.56836780081168,4.09606907918709e-26,"GRINA","not","sig","GRINA"
"377","ENSG00000189060",0.969109615551837,1.61718080527407e-26,"H1F0",0.913805590043295,2.0150808559134e-27,"H1F0","not","sig","H1F0"
"378","ENSG00000136628",-1.46568606677871,1.65607420840409e-26,"EPRS",-1.45369588008367,1.78226927233245e-26,"EPRS","not","sig","EPRS"
"379","ENSG00000105339",1.80638042720525,1.69118325932938e-26,"DENND3",1.80797914960021,1.43845439523204e-26,"DENND3","not","sig","DENND3"
"380","ENSG00000117632",-1.37044480715355,1.82540338491664e-26,"STMN1",-1.29433033791031,1.78009871177052e-24,"STMN1","not","sig","STMN1"
"381","ENSG00000173210",-1.27652571220627,1.86371083916356e-26,"ABLIM3",-1.30031805957125,5.03137378930209e-28,"ABLIM3","not","sig","ABLIM3"
"382","ENSG00000146918",-0.999389147851447,1.88552609869935e-26,"NCAPG2",-1.01780764537494,5.83936595173221e-28,"NCAPG2","not","sig","NCAPG2"
"383","ENSG00000140285",1.78426549067459,2.04117916872256e-26,"FGF7",1.78263890456961,1.68216249055666e-27,"FGF7","not","sig","FGF7"
"384","ENSG00000117593",-1.22437697557524,2.13764047119503e-26,"DARS2",-1.18686899876701,1.53518997213037e-29,"DARS2","not","sig","DARS2"
"385","ENSG00000079257",4.33000144862531,2.21615087963115e-26,"LXN",4.11352483850209,5.96600643635244e-27,"LXN","not","sig","LXN"
"386","ENSG00000162944",1.92392268838054,2.24995805516765e-26,"RFTN2",1.87466828054832,3.52169832633979e-35,"RFTN2","not","sig","RFTN2"
"387","ENSG00000110057",2.29316693676232,2.27089142994764e-26,"UNC93B1",2.48633278738389,5.25370299695125e-29,"UNC93B1","not","sig","UNC93B1"
"388","ENSG00000184584",1.60466416678256,2.36881644063958e-26,"TMEM173",1.68762051286972,2.3628168541399e-30,"TMEM173","not","sig","TMEM173"
"389","ENSG00000153234",3.35708957475148,2.51466954073075e-26,"NR4A2",3.27250939558436,2.7508291366136e-24,"NR4A2","not","sig","NR4A2"
"390","ENSG00000146278",1.62410440092909,3.10110836253326e-26,"PNRC1",1.63338943327172,6.08072934102857e-31,"PNRC1","not","sig","PNRC1"
"391","ENSG00000142892",-1.81364758553388,3.13411856216102e-26,"PIGK",-1.82347757256223,5.2675450557326e-27,"PIGK","not","sig","PIGK"
"392","ENSG00000073756",4.3100207512327,3.61384626255903e-26,"PTGS2",4.26983734256164,2.93342134197421e-27,"PTGS2","not","sig","PTGS2"
"393","ENSG00000196305",-1.83408279853015,3.61565596907754e-26,"IARS",-1.85135543704135,7.95816506578893e-27,"IARS","not","sig","IARS"
"394","ENSG00000135048",1.6069127552522,4.07464577072263e-26,"CEMIP2",1.59036796897913,3.57751237828983e-27,"CEMIP2","not","sig","CEMIP2"
"395","ENSG00000120899",2.14028159061019,4.82626304279155e-26,"PTK2B",2.20651041213139,4.55350789262693e-29,"PTK2B","not","sig","PTK2B"
"396","ENSG00000173846",1.43648206630764,9.57108559674323e-26,"PLK3",1.42247860238325,6.13261028857288e-25,"PLK3","not","sig","PLK3"
"397","ENSG00000163565",1.4006440511687,9.81478078672256e-26,"IFI16",1.40162405925995,1.28689237867416e-26,"IFI16","not","sig","IFI16"
"398","ENSG00000126821",-1.32643913359259,1.0913889137794e-25,"SGPP1",-1.28443674549889,2.09250261648097e-28,"SGPP1","not","sig","SGPP1"
"399","ENSG00000163932",2.26688126509175,1.30233935900179e-25,"PRKCD",2.24596710194483,1.11574235532319e-24,"PRKCD","not","sig","PRKCD"
"400","ENSG00000278540",-1.15376598035679,1.69037027276126e-25,"ACACA",-1.17600116516536,1.20430930946265e-28,"ACACA","not","sig","ACACA"
"401","ENSG00000137575",0.781625370859238,1.73177971081796e-25,"SDCBP",0.787955207179868,6.37570110364092e-27,"SDCBP","not","sig","SDCBP"
"402","ENSG00000184292",3.07874694261263,2.15694780388496e-25,"TACSTD2",3.14756645441219,1.68967881330705e-29,"TACSTD2","not","sig","TACSTD2"
"403","ENSG00000138131",1.98700469072021,2.53111386872689e-25,"LOXL4",1.87357880590133,6.75181579184312e-21,"LOXL4","not","sig","LOXL4"
"404","ENSG00000138134",1.4194942998972,2.55269668884377e-25,"STAMBPL1",1.48650392438859,2.23559842440109e-30,"STAMBPL1","not","sig","STAMBPL1"
"405","ENSG00000123610",1.79514456733872,2.61415485886164e-25,"TNFAIP6",1.82299721244341,1.86085866129668e-26,"TNFAIP6","not","sig","TNFAIP6"
"406","ENSG00000011422",2.4651837290917,2.66871826351147e-25,"PLAUR",2.45993634843303,6.33848350040061e-25,"PLAUR","not","sig","PLAUR"
"407","ENSG00000178078",5.6447470616476,3.91085513002705e-25,"STAP2",5.82901856427497,1.1438092067105e-27,"STAP2","not","sig","STAP2"
"408","ENSG00000138193",-2.01349384632044,4.0113803770442e-25,"PLCE1",-2.01292693276226,5.10135721647158e-26,"PLCE1","not","sig","PLCE1"
"409","ENSG00000161800",-1.28467378348318,5.13803917382045e-25,"RACGAP1",-1.21396768371623,1.43030745644233e-21,"RACGAP1","not","sig","RACGAP1"
"410","ENSG00000134070",2.56913334364447,5.13943343176673e-25,"IRAK2",2.69962234737623,4.63912281628124e-27,"IRAK2","not","sig","IRAK2"
"411","ENSG00000168685",2.79282506633759,5.18976103601755e-25,"IL7R",3.16699125611448,1.92694240783018e-21,"IL7R","not","sig","IL7R"
"412","ENSG00000112339",-0.875865891263063,5.63830212789771e-25,"HBS1L",-0.854530794218301,1.4629182383644e-24,"HBS1L","not","sig","HBS1L"
