"","X","log2FoldChange_species_ref","padj_species_ref","SYMBOL_species_ref","log2FoldChange_human_ref","padj_human_ref","SYMBOL_human_ref","differs","significance","SYMBOL"
"171","ENSG00000197081",-0.956227238492659,8.05976956673618e-14,"IGF2R",-0.948835260039009,1.55068222126677e-13,"IGF2R","not","sig","IGF2R"
"172","ENSG00000157873",2.38255843063231,8.13122757156364e-14,"TNFRSF14",2.46863738396575,4.33033828267959e-14,"TNFRSF14","not","sig","TNFRSF14"
"173","ENSG00000111452",-2.01500120819422,9.08507068729301e-14,"ADGRD1",-1.94520326626925,8.83187533871903e-14,"ADGRD1","not","sig","ADGRD1"
"174","ENSG00000076108",0.827474369445827,1.16107363035102e-13,"BAZ2A",0.794606690109211,8.03459759840639e-14,"BAZ2A","not","sig","BAZ2A"
"175","ENSG00000185215",1.35289890419739,1.6813617387931e-13,"TNFAIP2",1.29081908843556,7.6549731757283e-13,"TNFAIP2","not","sig","TNFAIP2"
"176","ENSG00000116133",-1.10802021228262,2.02064441665442e-13,"DHCR24",-1.08959643268717,2.82223309417845e-13,"DHCR24","not","sig","DHCR24"
"177","ENSG00000103319",-0.600443518399703,2.23345856565837e-13,"EEF2K",-0.533024884562477,3.99622270863662e-10,"EEF2K","not","sig","EEF2K"
"178","ENSG00000104341",-0.639914551985732,2.23434356727625e-13,"LAPTM4B",-0.641367133025244,2.33269529148676e-13,"LAPTM4B","not","sig","LAPTM4B"
"179","ENSG00000049860",-1.09461352283483,2.48144376333479e-13,"HEXB",-1.10605455737164,2.18355484551616e-14,"HEXB","not","sig","HEXB"
"180","ENSG00000171860",2.36857545458459,3.1798987577856e-13,"C3AR1",2.28361249271796,7.10497724919923e-13,"C3AR1","not","sig","C3AR1"
"181","ENSG00000205220",2.21466365554898,3.1798987577856e-13,"PSMB10",3.76113285946535,8.00936736976193e-43,"PSMB10","different","sig","PSMB10"
"182","ENSG00000120526",0.830143419715381,3.26190643183422e-13,"NUDCD1",0.791552875531695,1.30795884428892e-13,"NUDCD1","not","sig","NUDCD1"
"183","ENSG00000126821",-0.802324735899068,3.5780743145833e-13,"SGPP1",-0.826425960612293,1.17265754360631e-13,"SGPP1","not","sig","SGPP1"
"184","ENSG00000131238",-0.627414757513042,3.89338333952502e-13,"PPT1",-0.66323234914307,8.66432247972315e-19,"PPT1","not","sig","PPT1"
"185","ENSG00000169418",-0.469450053958757,5.31639267085517e-13,"NPR1",-0.464883813939,2.55709850566735e-12,"NPR1","not","sig","NPR1"
"186","ENSG00000147872",1.20909312950061,5.61252601123115e-13,"PLIN2",1.20531622212455,3.77954854956349e-14,"PLIN2","not","sig","PLIN2"
"187","ENSG00000137496",2.59818155447004,7.06017060074794e-13,"IL18BP",2.07928592741907,3.73171107046489e-10,"IL18BP","not","sig","IL18BP"
"188","ENSG00000231925",0.893511850108084,7.22900443451216e-13,"TAPBP",0.93348924305161,6.88833497839272e-15,"TAPBP","not","sig","TAPBP"
"189","ENSG00000028137",0.919296213331806,7.3013863111135e-13,"TNFRSF1B",0.825102729850661,5.03048768530617e-10,"TNFRSF1B","not","sig","TNFRSF1B"
"190","ENSG00000163701",1.830131766392,8.06228180165555e-13,"IL17RE",1.87526567825265,4.28713042958076e-13,"IL17RE","not","sig","IL17RE"
"191","ENSG00000108669",0.792337327297802,8.16662559458251e-13,"CYTH1",0.799831471805466,2.92518792533432e-13,"CYTH1","not","sig","CYTH1"
"192","ENSG00000115902",-1.33229371661338,8.4525187336674e-13,"SLC1A4",-1.34956897441583,2.35982551858897e-13,"SLC1A4","not","sig","SLC1A4"
"193","ENSG00000092010",1.19214121920462,8.88506103751243e-13,"PSME1",1.19451523739419,8.35814697821549e-13,"PSME1","not","sig","PSME1"
"194","ENSG00000162692",1.8608942029309,9.03859892960448e-13,"VCAM1",1.90374016387107,1.15992878360656e-12,"VCAM1","not","sig","VCAM1"
"195","ENSG00000178078",4.14825373137061,9.57195394076436e-13,"STAP2",4.25732410603284,1.31357607359677e-13,"STAP2","not","sig","STAP2"
"196","ENSG00000146425",1.04417997300163,9.74487787167792e-13,"DYNLT1",1.01625084284812,6.38157342640637e-13,"DYNLT1","not","sig","DYNLT1"
"197","ENSG00000146918",-0.618150909695468,1.11288002476587e-12,"NCAPG2",-0.616342775629254,6.10277667050435e-13,"NCAPG2","not","sig","NCAPG2"
"198","ENSG00000137807",-0.647313314561843,1.14736416312962e-12,"KIF23",-0.640430575263138,1.56120455380046e-12,"KIF23","not","sig","KIF23"
"199","ENSG00000151726",1.19449065921538,1.2150159317787e-12,"ACSL1",1.22709542615689,6.66014830710836e-13,"ACSL1","not","sig","ACSL1"
