"","X","log2FoldChange_human_ref","padj_human_ref","SYMBOL_human_ref","log2FoldChange_species_ref","padj_species_ref","SYMBOL_species_ref","differs","significance","SYMBOL"
"433","ENSG00000109919",-0.822879412561351,2.40696211896359e-26,"MTCH2",-0.823285015270878,6.45426801838836e-27,"MTCH2","not","sig","MTCH2"
"434","ENSG00000183801",1.89049249361888,3.70408555990377e-26,"OLFML1",1.89669694973701,1.43401212878238e-24,"OLFML1","not","sig","OLFML1"
"435","ENSG00000137449",1.78292988388085,3.78899235387065e-26,"CPEB2",1.79206727551198,2.43817339433748e-22,"CPEB2","not","sig","CPEB2"
"436","ENSG00000019582",8.2310817199408,3.89514439935241e-26,"CD74",8.22916229578775,1.22380103313318e-26,"CD74","not","sig","CD74"
"437","ENSG00000100568",-0.970179058813976,4.96116061175589e-26,"VTI1B",-0.935571889417006,3.55910410786138e-08,"VTI1B","not","sig","VTI1B"
"438","ENSG00000151466",1.1824879822083,7.36827390826575e-26,"SCLT1",1.16891376641796,9.40568880949139e-25,"SCLT1","not","sig","SCLT1"
"439","ENSG00000144681",-3.7123085678409,7.99081384098683e-26,"STAC",-3.71632655121461,9.4517069674651e-26,"STAC","not","sig","STAC"
"440","ENSG00000166483",-1.33322498712719,9.84816701024494e-26,"WEE1",-1.20728096165366,1.08591692374804e-19,"WEE1","not","sig","WEE1"
"441","ENSG00000170624",-1.99406782990312,1.32522194746196e-25,"SGCD",-1.04096043755575,1.41839753423487e-05,"SGCD","different","sig","SGCD"
"442","ENSG00000135211",1.89852192950048,1.32815054800996e-25,"TMEM60",1.9199440355222,5.31854712076214e-24,"TMEM60","not","sig","TMEM60"
"443","ENSG00000106034",1.98472647151504,1.38031520474462e-25,"CPED1",1.99706047527193,5.15659969147437e-26,"CPED1","not","sig","CPED1"
"444","ENSG00000049192",1.56052242960924,1.635200671901e-25,"ADAMTS6",1.66711397487273,2.51808462854097e-25,"ADAMTS6","not","sig","ADAMTS6"
"445","ENSG00000137033",5.37874322714551,1.8265891550783e-25,"IL33",5.36576119914028,1.44937311541301e-25,"IL33","not","sig","IL33"
"446","ENSG00000167106",-1.58416446283673,1.85991810000778e-25,"FAM102A",-1.59301698067081,1.84287353602689e-25,"FAM102A","not","sig","FAM102A"
"447","ENSG00000141434",8.07010262290487,2.69664056363977e-25,"MEP1B",7.88581323152648,9.95027258764312e-24,"MEP1B","not","sig","MEP1B"
"448","ENSG00000122417",1.43659518991507,2.89205854150747e-25,"ODF2L",1.42305938420386,1.00197261849721e-20,"ODF2L","not","sig","ODF2L"
"449","ENSG00000163739",6.73482810362246,2.94659097653691e-25,"CXCL1",6.77308482253296,5.29969794441283e-26,"CXCL1","not","sig","CXCL1"
"450","ENSG00000130939",-1.08761972371204,3.77039698327387e-25,"UBE4B",-1.10835961557635,6.45703083848806e-28,"UBE4B","not","sig","UBE4B"
"451","ENSG00000174059",4.43391554080154,4.10716679687728e-25,"CD34",4.30753701415296,1.21873994773976e-21,"CD34","not","sig","CD34"
"452","ENSG00000165806",1.29405003869647,4.61560582847667e-25,"CASP7",1.3048453320296,9.89489455446919e-25,"CASP7","not","sig","CASP7"
"453","ENSG00000125868",-1.32267388316617,5.65502370680886e-25,"DSTN",-1.31318127271486,1.39503639731834e-23,"DSTN","not","sig","DSTN"
"454","ENSG00000164032",-1.53439054349551,8.46040399970964e-25,"H2AFZ",-1.53876553538977,8.31101464745875e-25,"H2AFZ","not","sig","H2AFZ"
"455","ENSG00000198796",-1.55477428722916,1.00282452978774e-24,"ALPK2",-1.57003333312403,3.28310588505666e-26,"ALPK2","not","sig","ALPK2"
"456","ENSG00000017427",5.42191483976381,1.20945781040359e-24,"IGF1",4.88185017649206,1.57768020123589e-14,"IGF1","not","sig","IGF1"
"457","ENSG00000129173",-2.06910564930959,1.35467227685187e-24,"E2F8",-2.03161197455396,1.08656384364203e-24,"E2F8","not","sig","E2F8"
"458","ENSG00000146409",1.58970620984668,1.73715353437055e-24,"SLC18B1",1.61812808467068,3.90450487819003e-21,"SLC18B1","not","sig","SLC18B1"
"459","ENSG00000006210",5.82919015194137,1.81307878707342e-24,"CX3CL1",5.83451432312095,7.79027785840195e-25,"CX3CL1","not","sig","CX3CL1"
"460","ENSG00000102452",-2.47892230078047,2.24452715360019e-24,"NALCN",-2.3851025622266,2.40968695285697e-21,"NALCN","not","sig","NALCN"
"461","ENSG00000131747",-1.27746309433696,2.4024143535577e-24,"TOP2A",-1.27490073430606,2.19729345343344e-22,"TOP2A","not","sig","TOP2A"
"462","ENSG00000137393",1.96326503045784,2.5321703738412e-24,"RNF144B",2.01555997742741,2.79511866877498e-22,"RNF144B","not","sig","RNF144B"
"463","ENSG00000162777",2.13487432659211,2.53649713651922e-24,"DENND2D",2.10848314564147,5.41538166819101e-23,"DENND2D","not","sig","DENND2D"
"464","ENSG00000197535",-1.4414560162446,2.53649713651922e-24,"MYO5A",-1.24042131738373,1.25799349884256e-17,"MYO5A","not","sig","MYO5A"
"465","ENSG00000140538",-1.72903471046789,2.54322930467809e-24,"NTRK3",-1.26738865313003,2.70042599438462e-14,"NTRK3","not","sig","NTRK3"
"466","ENSG00000131943",1.06131657705846,2.72668550243587e-24,"C19orf12",1.05800660840482,9.55900891587667e-19,"C19orf12","not","sig","C19orf12"
