"","X","log2FoldChange_human_ref","padj_human_ref","SYMBOL_human_ref","log2FoldChange_species_ref","padj_species_ref","SYMBOL_species_ref","differs","significance","SYMBOL"
"414","ENSG00000107262",0.710571531318858,3.35620495798914e-08,"BAG1",0.831597285116324,2.22745069718358e-09,"BAG1","not","sig","BAG1"
"415","ENSG00000164597",-0.603186153736431,3.35620495798914e-08,"COG5",-0.626389749693324,1.3367336476873e-08,"COG5","not","sig","COG5"
"416","ENSG00000013016",-0.834573422349357,3.45734059537042e-08,"EHD3",-0.579856064153361,0.00161460310263516,"EHD3","not","sig","EHD3"
"417","ENSG00000077232",-0.80092458467286,3.48526441462301e-08,"DNAJC10",-0.821693222097517,1.41957800237596e-08,"DNAJC10","not","sig","DNAJC10"
"418","ENSG00000105339",0.892321645053331,3.48526441462301e-08,"DENND3",0.815984409419691,7.03744051188553e-07,"DENND3","not","sig","DENND3"
"419","ENSG00000146433",-0.563496786885413,3.60013036280682e-08,"TMEM181",-0.543080843954528,2.48698008757008e-07,"TMEM181","not","sig","TMEM181"
"420","ENSG00000158270",-1.09921932018645,4.09857027359538e-08,"COLEC12",-1.1117701857306,2.68990744635636e-08,"COLEC12","not","sig","COLEC12"
"421","ENSG00000206527",-0.928362386856135,4.32488548240428e-08,"HACD2",-0.90054790168208,1.21966076656782e-05,"HACD2","not","sig","HACD2"
"422","ENSG00000113504",1.34129316416406,4.52029521335686e-08,"SLC12A7",1.46914429627076,3.5121325071894e-09,"SLC12A7","not","sig","SLC12A7"
"423","ENSG00000133131",-0.73882883253212,4.52029521335686e-08,"MORC4",-0.738866362541926,5.72388890924875e-08,"MORC4","not","sig","MORC4"
"424","ENSG00000129353",-0.750413694466527,4.58156300725322e-08,"SLC44A2",-0.745320428569172,6.9951356614771e-08,"SLC44A2","not","sig","SLC44A2"
"425","ENSG00000168824",-0.670572751022667,4.58156300725322e-08,"NSG1",-0.656643974808355,6.45654791661588e-06,"NSG1","not","sig","NSG1"
"426","ENSG00000128203",1.24646211447547,4.6151346374363e-08,"ASPHD2",1.54995588925134,4.37787815698824e-06,"ASPHD2","not","sig","ASPHD2"
"427","ENSG00000138134",0.958060557927709,4.6151346374363e-08,"STAMBPL1",0.981257435245929,4.26452882240352e-08,"STAMBPL1","not","sig","STAMBPL1"
"428","ENSG00000130779",-0.56586569225743,4.63634805237118e-08,"CLIP1",-0.57638363334503,2.24571884628591e-08,"CLIP1","not","sig","CLIP1"
"429","ENSG00000145730",-0.903687474996718,4.67547383263512e-08,"PAM",-0.904258913577238,4.84175416313113e-08,"PAM","not","sig","PAM"
"430","ENSG00000111674",1.12109180518686,4.71939495978458e-08,"ENO2",1.13458231518077,4.73246079713805e-08,"ENO2","not","sig","ENO2"
"431","ENSG00000241973",-0.37717522763798,4.71939495978458e-08,"PI4KA",-0.337709960613911,2.54761450495012e-07,"PI4KA","not","sig","PI4KA"
"432","ENSG00000168779",0.690608898816483,4.80860378788605e-08,"SHOX2",0.675866564225075,3.25921291858697e-08,"SHOX2","not","sig","SHOX2"
"433","ENSG00000111913",0.944210263342972,4.91876055069752e-08,"RIPOR2",0.946026516884621,3.86555681559773e-07,"RIPOR2","not","sig","RIPOR2"
"434","ENSG00000151502",-0.413189565595282,5.00557487716616e-08,"VPS26B",-0.299470931231656,0.00693373743604917,"VPS26B","not","sig","VPS26B"
"435","ENSG00000117385",-0.804015678572373,5.00617752106827e-08,"P3H1",-0.791694501055951,1.34376147289524e-07,"P3H1","not","sig","P3H1"
"436","ENSG00000163249",-0.818157629603676,5.08459974047557e-08,"CCNYL1",-0.833318521935954,1.61422921571647e-07,"CCNYL1","not","sig","CCNYL1"
"437","ENSG00000130037",0.915254607199908,5.16663421548639e-08,"KCNA5",1.07203182999746,4.79694218028663e-09,"KCNA5","not","sig","KCNA5"
"438","ENSG00000156398",-0.882742733863739,5.18939266610068e-08,"SFXN2",-1.12013430626006,0.00533579354789262,"SFXN2","not","sig","SFXN2"
"439","ENSG00000079263",2.67810905390461,5.26648911387429e-08,"SP140",3.01463530537978,0.0449999464107994,"SP140","not","sig","SP140"
"440","ENSG00000008283",-0.571116733476942,5.67473387970949e-08,"CYB561",-0.556477684076667,0.00276043343778901,"CYB561","not","sig","CYB561"
"441","ENSG00000138180",-0.538321876302468,6.34205383339163e-08,"CEP55",-0.574675753883362,3.47034731908857e-09,"CEP55","not","sig","CEP55"
"442","ENSG00000162267",-1.12525745441686,6.50127851066727e-08,"ITIH3",-1.1585294890918,1.35083895752873e-07,"ITIH3","not","sig","ITIH3"
"443","ENSG00000129055",-0.418724171513617,6.54802386382156e-08,"ANAPC13",-0.474105189176464,2.7655663709989e-07,"ANAPC13","not","sig","ANAPC13"
"444","ENSG00000184588",0.815800096822005,6.97848265242744e-08,"PDE4B",0.81030986941423,6.35808967668126e-08,"PDE4B","not","sig","PDE4B"
"445","ENSG00000174348",-1.29892825171106,7.61492999947803e-08,"PODN",-1.29221816771231,8.77372633205628e-08,"PODN","not","sig","PODN"
"446","ENSG00000137821",-0.603578388220962,8.16504367289288e-08,"LRRC49",-0.613992332012811,8.55458159217972e-08,"LRRC49","not","sig","LRRC49"
"447","ENSG00000144677",-0.475165944567177,8.21645031115543e-08,"CTDSPL",-0.410305945147284,0.000168984272594686,"CTDSPL","not","sig","CTDSPL"
"448","ENSG00000168487",-0.843508182178227,8.50741885625985e-08,"BMP1",-0.855061967076739,5.60192970236823e-08,"BMP1","not","sig","BMP1"
"449","ENSG00000171914",-0.677893726250272,8.50741885625985e-08,"TLN2",-0.677209261182025,1.00239287718331e-07,"TLN2","not","sig","TLN2"
"450","ENSG00000104723",-0.608690354441675,8.70720199805078e-08,"TUSC3",-0.610442753847191,7.46601284688161e-08,"TUSC3","not","sig","TUSC3"
"451","ENSG00000174059",2.08521616412059,8.82246669008498e-08,"CD34",2.1950038753444,2.54761450495012e-07,"CD34","not","sig","CD34"
"452","ENSG00000109320",0.569612147406068,8.96727800078393e-08,"NFKB1",0.562769948855715,1.66234906471988e-07,"NFKB1","not","sig","NFKB1"
"453","ENSG00000064687",-0.9123114037829,9.00067011857883e-08,"ABCA7",-0.941552076117176,3.99722963406679e-08,"ABCA7","not","sig","ABCA7"
"454","ENSG00000050165",-0.949860806021398,9.10189856364506e-08,"DKK3",-0.973753779794165,5.95195637529625e-08,"DKK3","not","sig","DKK3"
"455","ENSG00000011028",-0.914845241066268,9.37995400128027e-08,"MRC2",-0.912522042747458,1.13332514172531e-07,"MRC2","not","sig","MRC2"
"456","ENSG00000139192",1.06299027948529,9.96379806113721e-08,"TAPBPL",1.06205323199494,1.28124655611941e-07,"TAPBPL","not","sig","TAPBPL"
"457","ENSG00000116962",-0.651692238513393,9.96995793980719e-08,"NID1",-0.656781267677429,9.25254929059733e-08,"NID1","not","sig","NID1"
"458","ENSG00000142627",0.75707853238353,1.07968187601102e-07,"EPHA2",0.731018196507284,3.43625508091696e-07,"EPHA2","not","sig","EPHA2"
"459","ENSG00000100918",4.63152517881158,1.09373661686271e-07,"REC8",4.7848304873652,4.35411880304933e-08,"REC8","not","sig","REC8"
"460","ENSG00000168477",-1.57082832860214,1.09373661686271e-07,"TNXB",-1.64947502367754,5.68026231243248e-09,"TNXB","not","sig","TNXB"
"461","ENSG00000069431",-0.849937840513045,1.09432606095511e-07,"ABCC9",-0.883887189060503,4.92758068741441e-08,"ABCC9","not","sig","ABCC9"
"462","ENSG00000077943",-0.74120009925142,1.09432606095511e-07,"ITGA8",-0.765771702322751,1.86450758700191e-08,"ITGA8","not","sig","ITGA8"
"463","ENSG00000115414",-0.781137488181582,1.09432606095511e-07,"FN1",-0.78480369330847,1.17083407556045e-07,"FN1","not","sig","FN1"
"464","ENSG00000141756",-1.11916338189148,1.10539454436118e-07,"FKBP10",-1.12572129843848,1.15075932065345e-07,"FKBP10","not","sig","FKBP10"
"465","ENSG00000135363",1.80432212985181,1.11940217066138e-07,"LMO2",1.75967541867414,3.16369186272184e-07,"LMO2","not","sig","LMO2"
"466","ENSG00000197712",-0.748924436949467,1.12716752154365e-07,"FAM114A1",-0.76863891451419,4.2306533316884e-08,"FAM114A1","not","sig","FAM114A1"
"467","ENSG00000118271",-0.754053887555518,1.12965493390347e-07,"TTR",-0.776442009379594,1.32673366997375e-08,"TTR","not","sig","TTR"
"468","ENSG00000130066",1.11647909111592,1.13523761957149e-07,"SAT1",1.12552107081854,1.26473687005442e-07,"SAT1","not","sig","SAT1"
"469","ENSG00000124762",0.82520748362262,1.16173480718486e-07,"CDKN1A",0.836631647962413,7.69492484300796e-08,"CDKN1A","not","sig","CDKN1A"
"470","ENSG00000042429",0.748485688050356,1.21912055908706e-07,"MED17",0.918133317042885,3.31888410482925e-15,"MED17","not","sig","MED17"
"471","ENSG00000167106",-0.752063393209183,1.27199695839784e-07,"FAM102A",-0.754786053455639,2.38503839706481e-06,"FAM102A","not","sig","FAM102A"
"472","ENSG00000139163",0.785856176903052,1.27364175847369e-07,"ETNK1",0.735086464978146,5.09655366980554e-05,"ETNK1","not","sig","ETNK1"
"473","ENSG00000152133",-0.936265679167519,1.27822141024144e-07,"GPATCH11",-0.498943611388871,0.0159169595041564,"GPATCH11","different","sig","GPATCH11"
"474","ENSG00000112715",0.601342976524907,1.3096220793529e-07,"VEGFA",0.59493752852385,1.34224274291226e-07,"VEGFA","not","sig","VEGFA"
"475","ENSG00000104219",-0.811388873576025,1.3428293622463e-07,"ZDHHC2",-0.897331059862184,6.900418758008e-09,"ZDHHC2","not","sig","ZDHHC2"
"476","ENSG00000186468",-0.738457356240146,1.35006266645412e-07,"RPS23",-0.634551426905663,8.80088249441001e-06,"RPS23","not","sig","RPS23"
"477","ENSG00000166073",0.423950898520646,1.38643434454423e-07,"GPR176",0.413124920184724,6.04863448675759e-07,"GPR176","not","sig","GPR176"
"478","ENSG00000054356",-0.876862915612886,1.4546982737171e-07,"PTPRN",-0.887457882193113,1.16937131836111e-07,"PTPRN","not","sig","PTPRN"
"479","ENSG00000164694",-1.1504294583243,1.50262535407146e-07,"FNDC1",-1.16743929315094,2.91473883630008e-07,"FNDC1","not","sig","FNDC1"
"480","ENSG00000143643",-1.02004340534194,1.51730903550898e-07,"TTC13",-0.956291834705097,8.74009717913158e-07,"TTC13","not","sig","TTC13"
"481","ENSG00000146278",0.81879003370586,1.60235810277643e-07,"PNRC1",0.833566228570074,5.9494938699627e-08,"PNRC1","not","sig","PNRC1"
"482","ENSG00000139641",-0.453497207540119,1.60505903577137e-07,"ESYT1",-0.460212596610938,1.00032798839857e-07,"ESYT1","not","sig","ESYT1"
"483","ENSG00000169239",-1.01984482377188,1.66888582502599e-07,"CA5B",-0.772840832697327,0.00314641426947473,"CA5B","not","sig","CA5B"
"484","ENSG00000111666",-0.698445416161699,1.69718532418891e-07,"CHPT1",-0.692799136011362,5.28563194528925e-07,"CHPT1","not","sig","CHPT1"
"485","ENSG00000140465",3.35229497555264,1.72067513747405e-07,"CYP1A1",3.32481777631053,1.42699941735151e-07,"CYP1A1","not","sig","CYP1A1"
"486","ENSG00000143382",-0.913359280637067,1.72067513747405e-07,"ADAMTSL4",-0.922088898934408,3.89936296140336e-07,"ADAMTSL4","not","sig","ADAMTSL4"
"487","ENSG00000102384",-0.649666865871333,1.8010852785229e-07,"CENPI",-0.65078359681574,1.98685445722482e-07,"CENPI","not","sig","CENPI"
"488","ENSG00000100600",-0.67162172787615,1.90319959730575e-07,"LGMN",-0.680411957895805,1.00841520172881e-07,"LGMN","not","sig","LGMN"
"489","ENSG00000143162",-0.858411251184345,2.0177562721993e-07,"CREG1",-0.837281106618182,4.18775519402889e-07,"CREG1","not","sig","CREG1"
"490","ENSG00000144401",-0.691338834884011,2.05746329529503e-07,"METTL21A",-0.70670832343136,2.00947130097603e-07,"METTL21A","not","sig","METTL21A"
"491","ENSG00000105419",0.771614841816895,2.05995787794066e-07,"MEIS3",0.725847870734171,7.82963338952066e-07,"MEIS3","not","sig","MEIS3"
"492","ENSG00000066629",-0.644322637592587,2.15637053384214e-07,"EML1",-0.612538995740245,3.54058023715363e-06,"EML1","not","sig","EML1"
"493","ENSG00000100441",0.456997460716836,2.15637053384214e-07,"KHNYN",0.483233959710332,1.33178211467254e-08,"KHNYN","not","sig","KHNYN"
"494","ENSG00000151176",-0.604482477200138,2.20714814647661e-07,"PLBD2",-0.603711382318165,1.81656251810373e-06,"PLBD2","not","sig","PLBD2"
"495","ENSG00000131398",1.16366684239315,2.22114514616029e-07,"KCNC3",1.07001001189199,0.0886703334373768,"KCNC3","not","nonsig","KCNC3"
"496","ENSG00000117475",0.716940199374589,2.25892161764616e-07,"BLZF1",0.770256353472699,4.8497272252391e-08,"BLZF1","not","sig","BLZF1"
"497","ENSG00000106976",-0.937490959511303,2.26984542018128e-07,"DNM1",-1.01196030689332,3.86336757345616e-08,"DNM1","not","sig","DNM1"
"498","ENSG00000116977",0.794109669611546,2.27651887354684e-07,"LGALS8",0.756734725449153,5.97238137120199e-07,"LGALS8","not","sig","LGALS8"
"499","ENSG00000123595",0.553743667026975,2.30842309976377e-07,"RAB9A",0.571591395097515,1.34224274291226e-07,"RAB9A","not","sig","RAB9A"
"500","ENSG00000116005",-0.703630275669774,2.37724155655983e-07,"PCYOX1",-0.618603500627885,1.54263242785928e-05,"PCYOX1","not","sig","PCYOX1"
