"","X","log2FoldChange_human_ref","padj_human_ref","SYMBOL_human_ref","log2FoldChange_species_ref","padj_species_ref","SYMBOL_species_ref","differs","significance","SYMBOL"
"249","ENSG00000111452",2.16718434008679,2.07296546563948e-39,"ADGRD1",2.2280286875334,4.03206554385385e-39,"ADGRD1","not","sig","ADGRD1"
"250","ENSG00000106780",-1.52613954418982,2.50919905406817e-39,"MEGF9",-1.56063981610307,2.02227944014421e-42,"MEGF9","not","sig","MEGF9"
"251","ENSG00000136147",1.50422864010346,3.76565920545638e-39,"PHF11",1.48113510841474,2.00506562292909e-37,"PHF11","not","sig","PHF11"
"252","ENSG00000130202",1.24478596935794,5.87235820122583e-39,"NECTIN2",1.35489449147857,1.33554105360989e-45,"NECTIN2","not","sig","NECTIN2"
"253","ENSG00000182326",2.07381957210304,6.07479589304992e-39,"C1S",2.05736950340639,1.85042848453378e-38,"C1S","not","sig","C1S"
"254","ENSG00000005102",4.50534533028369,7.38210854696076e-39,"MEOX1",4.51163625359089,6.7304121532306e-39,"MEOX1","not","sig","MEOX1"
"255","ENSG00000162520",-1.80889075836615,7.90169870905261e-39,"SYNC",-1.81835195005631,9.14515819968529e-39,"SYNC","not","sig","SYNC"
"256","ENSG00000121060",1.51666102933878,9.48878918721094e-39,"TRIM25",1.50192254297017,9.56568443546223e-38,"TRIM25","not","sig","TRIM25"
"257","ENSG00000163568",8.55471053967931,1.1221934887683e-38,"AIM2",8.58488799780416,4.80660114531227e-39,"AIM2","not","sig","AIM2"
"258","ENSG00000125538",5.18987210418797,1.24823212176581e-38,"IL1B",5.17990891009977,1.77701602777712e-38,"IL1B","not","sig","IL1B"
"259","ENSG00000173786",1.34706520978325,1.41221354670744e-38,"CNP",1.33572650901448,5.76474372424385e-38,"CNP","not","sig","CNP"
"260","ENSG00000103569",6.03511543905717,1.41256584947742e-38,"AQP9",6.03984614599987,9.50552250454099e-39,"AQP9","not","sig","AQP9"
"261","ENSG00000106484",-2.32231505608555,2.45819092864191e-38,"MEST",-2.32539410270525,2.16807235842756e-38,"MEST","not","sig","MEST"
"262","ENSG00000166889",1.407101324681,3.96188951614477e-38,"PATL1",1.38419683968066,2.59961439321384e-35,"PATL1","not","sig","PATL1"
"263","ENSG00000196954",1.54345436093804,4.30181308755254e-38,"CASP4",1.52939652423999,3.14359744031833e-37,"CASP4","not","sig","CASP4"
"264","ENSG00000168610",0.764168128592066,4.48525890629429e-38,"STAT3",0.753765032577631,2.6595482194491e-36,"STAT3","not","sig","STAT3"
"265","ENSG00000140105",2.13486278463427,4.62228736345093e-38,"WARS",2.12539395101929,1.9360509727763e-37,"WARS","not","sig","WARS"
"266","ENSG00000185404",1.45341836802932,4.74087322863182e-38,"SP140L",1.45527013219689,6.13429030006853e-39,"SP140L","not","sig","SP140L"
"267","ENSG00000173918",2.45010361671878,5.48847933746731e-38,"C1QTNF1",2.44766087758266,1.4262191744635e-37,"C1QTNF1","not","sig","C1QTNF1"
"268","ENSG00000116514",1.99465314687766,8.43452337824948e-38,"RNF19B",1.98512039610168,2.09216219113774e-37,"RNF19B","not","sig","RNF19B"
"269","ENSG00000157111",2.28138055884645,1.81418254059809e-37,"TMEM171",2.26932450603349,5.07399801455382e-37,"TMEM171","not","sig","TMEM171"
"270","ENSG00000110057",2.3613693241274,2.55553762623416e-37,"UNC93B1",2.39302812498268,8.61358567513397e-39,"UNC93B1","not","sig","UNC93B1"
