"","X","log2FoldChange_human_ref","padj_human_ref","SYMBOL_human_ref","log2FoldChange_species_ref","padj_species_ref","SYMBOL_species_ref","differs","significance","SYMBOL"
"332","ENSG00000174099",-1.53123025044137,8.91236657747849e-32,"MSRB3",-1.29058366114358,1.75006968580652e-20,"MSRB3","not","sig","MSRB3"
"333","ENSG00000204642",2.98776355708322,1.00221522724587e-31,"HLA-F",5.31435619505606,5.69263006582968e-59,"HLA-F","different","sig","HLA-F"
"334","ENSG00000125730",2.57705532035084,1.07447166869647e-31,"C3",2.56007505278847,1.24887747727778e-30,"C3","not","sig","C3"
"335","ENSG00000139734",-1.69195384772645,1.09260950398137e-31,"DIAPH3",-1.66415988630242,8.28748897536977e-30,"DIAPH3","not","sig","DIAPH3"
"336","ENSG00000120549",1.44865404826829,1.12819744448273e-31,"KIAA1217",1.44215517938968,1.53247600560175e-30,"KIAA1217","not","sig","KIAA1217"
"337","ENSG00000123213",-0.941349196858343,1.27010477918066e-31,"NLN",-0.917173533427711,1.04060030100601e-26,"NLN","not","sig","NLN"
"338","ENSG00000197646",1.82785608260067,1.42976446015295e-31,"PDCD1LG2",1.73813269456899,2.83053084271278e-17,"PDCD1LG2","not","sig","PDCD1LG2"
"339","ENSG00000165801",1.73184994278735,1.98080946384026e-31,"ARHGEF40",1.80360078895053,1.07508564420911e-32,"ARHGEF40","not","sig","ARHGEF40"
"340","ENSG00000144118",1.13306909611962,2.02410425542827e-31,"RALB",1.29425624075721,4.14543256661163e-34,"RALB","not","sig","RALB"
"341","ENSG00000187889",4.68279644008422,2.07007377456785e-31,"FYB2",4.39224238957549,2.70485256511051e-23,"FYB2","not","sig","FYB2"
"342","ENSG00000171105",-1.02080127326261,2.97544033182552e-31,"INSR",-0.950433530850777,7.63968518346945e-28,"INSR","not","sig","INSR"
"343","ENSG00000060491",2.02893312226853,3.31937556138409e-31,"OGFR",2.0618380449776,2.33295738262795e-32,"OGFR","not","sig","OGFR"
"344","ENSG00000121060",2.61074569857798,4.07146248909764e-31,"TRIM25",2.68170925717863,1.92831792646076e-29,"TRIM25","not","sig","TRIM25"
"345","ENSG00000186815",-1.42095427668781,4.24878586729157e-31,"TPCN1",-1.24788657123013,1.82880790816131e-20,"TPCN1","not","sig","TPCN1"
"346","ENSG00000175899",-1.8229360981891,4.64229649421483e-31,"A2M",-1.80382829743576,1.23293661445483e-30,"A2M","not","sig","A2M"
"347","ENSG00000146278",1.63338943327172,6.08072934102857e-31,"PNRC1",1.62410440092909,3.10110836253326e-26,"PNRC1","not","sig","PNRC1"
"348","ENSG00000117475",1.22840105223153,9.02699437995964e-31,"BLZF1",1.1400648108098,4.10711630256124e-27,"BLZF1","not","sig","BLZF1"
"349","ENSG00000104687",-1.06890563150926,9.31707555853775e-31,"GSR",-1.129445117395,3.47451210525621e-30,"GSR","not","sig","GSR"
