"","X","log2FoldChange_species_ref","padj_species_ref","SYMBOL_species_ref","log2FoldChange_human_ref","padj_human_ref","SYMBOL_human_ref","differs","significance","SYMBOL"
"148","ENSG00000204138",1.74216189223742,2.34339173153309e-50,"PHACTR4",1.75490131737894,2.47047655382301e-50,"PHACTR4","not","sig","PHACTR4"
"149","ENSG00000172183",5.6348834975105,2.4315514509769e-50,"ISG20",5.67592655710415,2.01118873578988e-50,"ISG20","not","sig","ISG20"
"150","ENSG00000133067",3.73871646925338,3.94890774621976e-50,"LGR6",3.74436784118454,5.69764351156899e-50,"LGR6","not","sig","LGR6"
"151","ENSG00000184371",2.08037662966767,2.83787949646005e-49,"CSF1",2.0941092795699,1.39412648333841e-50,"CSF1","not","sig","CSF1"
"152","ENSG00000176953",1.54653520727493,4.83237793191828e-49,"NFATC2IP",1.30800889255828,2.58841102285386e-33,"NFATC2IP","not","sig","NFATC2IP"
"153","ENSG00000109436",1.63441780670138,8.25324358755467e-49,"TBC1D9",1.55086622721083,1.8193521093698e-46,"TBC1D9","not","sig","TBC1D9"
"154","ENSG00000166889",1.72092032725221,2.26822891186461e-48,"PATL1",1.75085315089594,7.2940712697593e-50,"PATL1","not","sig","PATL1"
"155","ENSG00000147044",1.17232760226008,2.57101645614907e-48,"CASK",1.07689311431256,2.05726009258505e-45,"CASK","not","sig","CASK"
"156","ENSG00000101680",5.04887295625217,3.65365462383723e-48,"LAMA1",5.03366971651406,3.64779462675961e-48,"LAMA1","not","sig","LAMA1"
"157","ENSG00000136816",1.87779359451163,5.74354404854131e-48,"TOR1B",1.9419161652038,1.02840090309825e-52,"TOR1B","not","sig","TOR1B"
"158","ENSG00000140853",3.08362203402433,1.01847490304416e-47,"NLRC5",3.13689676716719,1.34092391154346e-47,"NLRC5","not","sig","NLRC5"
"159","ENSG00000161692",2.7646303303276,1.62714774592532e-47,"DBF4B",2.62738234262532,2.36579592678377e-49,"DBF4B","not","sig","DBF4B"
"160","ENSG00000025708",3.35757269601106,1.78547815484989e-47,"TYMP",3.33274881721274,7.41746756070679e-47,"TYMP","not","sig","TYMP"
"161","ENSG00000100346",6.50093357481428,2.08779432736095e-47,"CACNA1I",6.3957114814592,1.18529556891636e-47,"CACNA1I","not","sig","CACNA1I"
"162","ENSG00000110218",2.19990738499107,3.10423161424825e-47,"PANX1",2.46500705798386,7.95884708532562e-60,"PANX1","not","sig","PANX1"
"163","ENSG00000087250",2.81517777652567,1.06287116666337e-46,"MT3",0.0942351726053642,NA,"MT3","different","nonsig","MT3"
"164","ENSG00000168062",5.71968576948318,4.39091737547681e-46,"BATF2",5.60199761233042,4.38517500625577e-75,"BATF2","not","sig","BATF2"
"165","ENSG00000164307",2.07300776246304,6.0797843898023e-46,"ERAP1",2.12390971556909,5.53225015665759e-47,"ERAP1","not","sig","ERAP1"
"166","ENSG00000106346",1.71511807579758,1.1135634934945e-45,"USP42",1.73887727099631,2.20163621764261e-46,"USP42","not","sig","USP42"
"167","ENSG00000146425",1.41758894764426,1.59278904517024e-45,"DYNLT1",1.35082376929009,1.090837502286e-39,"DYNLT1","not","sig","DYNLT1"
"168","ENSG00000204642",2.84478872581791,1.7205554853842e-45,"HLA-F",2.65592140860483,5.76274439456818e-37,"HLA-F","not","sig","HLA-F"
"169","ENSG00000167034",4.62506510852127,1.21637450346036e-44,"NKX3-1",4.61551719718449,3.89722441796516e-44,"NKX3-1","not","sig","NKX3-1"
"170","ENSG00000099968",1.32175727033193,1.57240193153138e-44,"BCL2L13",1.3199502173951,1.83022102937817e-41,"BCL2L13","not","sig","BCL2L13"
"171","ENSG00000163702",2.71254109486291,1.89881417296909e-44,"IL17RC",2.69910740518697,3.6459175924956e-44,"IL17RC","not","sig","IL17RC"
"172","ENSG00000104856",3.16493719172027,3.14271560031399e-43,"RELB",3.101676569506,1.09886720434006e-43,"RELB","not","sig","RELB"
"173","ENSG00000130202",1.87265523816705,2.90111608004353e-42,"NECTIN2",1.84332153352002,7.48130608353789e-43,"NECTIN2","not","sig","NECTIN2"
"174","ENSG00000196743",1.87791065679259,4.76466582804815e-42,"GM2A",1.87939170362326,7.23932176529617e-41,"GM2A","not","sig","GM2A"
"175","ENSG00000103966",1.30883594973489,4.91358342262534e-42,"EHD4",1.33287126474907,1.03056801480568e-43,"EHD4","not","sig","EHD4"
"176","ENSG00000133943",2.17024733904312,9.64316655856033e-42,"DGLUCY",2.15307039320777,4.56411193496809e-40,"DGLUCY","not","sig","DGLUCY"
"177","ENSG00000100298",5.55799135341236,1.2468806243258e-41,"APOBEC3H",5.68253374960639,1.81208428453882e-38,"APOBEC3H","not","sig","APOBEC3H"
"178","ENSG00000133328",7.66087048162999,2.03502527117246e-41,"HRASLS2",7.73865701132902,5.19646808789744e-38,"HRASLS2","not","sig","HRASLS2"
"179","ENSG00000143514",1.54585660609694,6.68684029256182e-41,"TP53BP2",1.54390583108633,2.06268318375431e-41,"TP53BP2","not","sig","TP53BP2"
"180","ENSG00000167191",2.15274972727269,7.97491697246111e-41,"GPRC5B",2.09369567765881,4.23676984522025e-41,"GPRC5B","not","sig","GPRC5B"
"181","ENSG00000159128",1.76354669036391,1.05479970552774e-40,"IFNGR2",1.67053797636414,1.81391705330562e-37,"IFNGR2","not","sig","IFNGR2"
"182","ENSG00000168779",1.79460567582751,1.30102954158843e-40,"SHOX2",1.84222907901569,1.09800112094431e-43,"SHOX2","not","sig","SHOX2"
"183","ENSG00000132274",2.03535441943506,2.61801704164216e-40,"TRIM22",2.08947846241564,5.3073902494237e-42,"TRIM22","not","sig","TRIM22"
"184","ENSG00000114395",2.86575694731973,3.10227270971409e-40,"CYB561D2",2.89617644059098,2.37721990764223e-30,"CYB561D2","not","sig","CYB561D2"
"185","ENSG00000107798",1.41829964883053,5.03378589091855e-40,"LIPA",1.42805233287741,4.15619394902531e-39,"LIPA","not","sig","LIPA"
"186","ENSG00000011426",-1.77262911712263,1.81942444675779e-39,"ANLN",-1.76644530296762,1.00471866531998e-39,"ANLN","not","sig","ANLN"
"187","ENSG00000137752",2.05600544105641,4.96127487802801e-39,"CASP1",2.50945496588927,4.91741957095246e-37,"CASP1","not","sig","CASP1"
"188","ENSG00000105559",3.57443949153097,6.91502029274914e-39,"PLEKHA4",3.52789817654924,9.82931977009209e-38,"PLEKHA4","not","sig","PLEKHA4"
"189","ENSG00000129667",2.43792224994972,2.60390547522252e-38,"RHBDF2",2.46686870997009,1.18610353244839e-37,"RHBDF2","not","sig","RHBDF2"
"190","ENSG00000169231",1.74360350572207,5.14430850671444e-38,"THBS3",1.76173102063047,1.79413060630796e-38,"THBS3","not","sig","THBS3"
"191","ENSG00000146918",-1.32457915783695,5.61775182950705e-38,"NCAPG2",-1.2297048965396,5.06715470700344e-32,"NCAPG2","not","sig","NCAPG2"
"192","ENSG00000197093",3.04918328720664,7.3438935031462e-38,"GAL3ST4",3.19329040131519,5.60283506960583e-39,"GAL3ST4","not","sig","GAL3ST4"
"193","ENSG00000183735",1.2591520700594,7.4647715186359e-38,"TBK1",1.27195013515866,5.66564885127951e-39,"TBK1","not","sig","TBK1"
"194","ENSG00000135821",1.92480029601465,1.26033588174584e-37,"GLUL",1.94237945500439,4.16334037850766e-35,"GLUL","not","sig","GLUL"
"195","ENSG00000092010",2.00723528016431,1.42306872568056e-37,"PSME1",2.02893099988697,4.32090684412821e-38,"PSME1","not","sig","PSME1"
"196","ENSG00000196187",1.59437876203214,2.0555216000061e-37,"TMEM63A",1.58909320942422,2.49092356910541e-36,"TMEM63A","not","sig","TMEM63A"
"197","ENSG00000173530",-2.07612313075407,2.1083022095105e-37,"TNFRSF10D",-1.88749364803733,1.42870248045059e-37,"TNFRSF10D","not","sig","TNFRSF10D"
"198","ENSG00000131979",3.56684479246923,2.65503138924276e-37,"GCH1",3.61253961783128,9.69375704521022e-38,"GCH1","not","sig","GCH1"
"199","ENSG00000137575",0.771131388327801,4.03113547404082e-37,"SDCBP",0.848604614343612,8.91017797257851e-48,"SDCBP","not","sig","SDCBP"
"200","ENSG00000163686",2.89551157827871,8.44549777883482e-37,"ABHD6",2.9147593436516,2.07924436971865e-37,"ABHD6","not","sig","ABHD6"
"201","ENSG00000137275",1.4478047803565,9.17950211857205e-37,"RIPK1",1.43562128650767,2.96301774114489e-33,"RIPK1","not","sig","RIPK1"
"202","ENSG00000197121",-2.26076365043735,1.15840304210471e-36,"PGAP1",-2.52629374758784,6.35132754010823e-50,"PGAP1","not","sig","PGAP1"
"203","ENSG00000135828",1.76450162435399,1.37538358147051e-36,"RNASEL",1.81268330518737,4.57775188920062e-38,"RNASEL","not","sig","RNASEL"
"204","ENSG00000168310",1.82291069514106,1.84697339791127e-36,"IRF2",1.84185648049848,8.81458824601221e-37,"IRF2","not","sig","IRF2"
"205","ENSG00000001629",1.59038043364442,2.72876531400778e-36,"ANKIB1",1.51154679332191,1.12361535355138e-32,"ANKIB1","not","sig","ANKIB1"
