"","X","log2FoldChange_species_ref","padj_species_ref","SYMBOL_species_ref","log2FoldChange_human_ref","padj_human_ref","SYMBOL_human_ref","differs","significance","SYMBOL"
"58","ENSG00000204642",6.99349554909253,4.27592303402894e-86,"HLA-F",5.56619719417379,1.96643457683728e-77,"HLA-F","not","sig","HLA-F"
"59","ENSG00000204592",3.93479493046279,5.95279883792548e-84,"HLA-E",3.81968818921605,3.3540608827021e-81,"HLA-E","not","sig","HLA-E"
"60","ENSG00000155363",2.47907291896932,1.01324334338577e-82,"MOV10",2.4731146883744,7.07443633997913e-78,"MOV10","not","sig","MOV10"
"61","ENSG00000140853",4.28145491958095,6.23107294546109e-82,"NLRC5",4.39758827019861,1.51871055129488e-80,"NLRC5","not","sig","NLRC5"
"62","ENSG00000121858",6.39096232948692,8.29235823021263e-80,"TNFSF10",6.42541133341372,9.1609083748535e-118,"TNFSF10","not","sig","TNFSF10"
"63","ENSG00000004468",9.07789179568029,1.76525164036751e-79,"CD38",9.00905125948807,4.11884591320361e-80,"CD38","not","sig","CD38"
"64","ENSG00000240065",4.57532176145707,3.65348512163878e-79,"PSMB9",4.55619142225856,1.21570429430796e-72,"PSMB9","not","sig","PSMB9"
"65","ENSG00000160932",3.80530092219354,2.25223964296547e-78,"LY6E",3.7695262460577,4.44202515147149e-73,"LY6E","not","sig","LY6E"
"66","ENSG00000119922",6.39554850577999,3.81083170844496e-78,"IFIT2",6.36552321662851,1.27895221172472e-79,"IFIT2","not","sig","IFIT2"
"67","ENSG00000161921",6.92612185589191,3.99138961590266e-78,"CXCL16",6.83825770577086,1.45399276547904e-57,"CXCL16","not","sig","CXCL16"
"68","ENSG00000129226",3.36098465772266,7.03680089336188e-77,"CD68",1.81145259819274,0.407368429169813,"CD68","different","nonsig","CD68"
"69","ENSG00000089127",7.06378088677902,2.842842463258e-75,"OAS1",7.14236069641586,2.99261074858208e-69,"OAS1","not","sig","OAS1"
"70","ENSG00000132274",2.56264554407892,2.842842463258e-75,"TRIM22",2.55969506529787,5.01449021709885e-78,"TRIM22","not","sig","TRIM22"
"71","ENSG00000156958",2.5989224869977,9.28720671086019e-75,"GALK2",0.115724190821986,0.406195820422136,"GALK2","different","nonsig","GALK2"
"72","ENSG00000172936",2.83158218126304,6.59780022055928e-74,"MYD88",2.80956347013771,1.21006804728782e-75,"MYD88","not","sig","MYD88"
"73","ENSG00000105835",2.89936478336172,5.30384095037181e-73,"NAMPT",2.84429928266158,2.49026805011776e-77,"NAMPT","not","sig","NAMPT"
"74","ENSG00000140464",2.66266055133387,5.50544211413848e-71,"PML",2.7580437889177,2.68103099388796e-108,"PML","not","sig","PML"
