"","X","log2FoldChange_human_ref","padj_human_ref","SYMBOL_human_ref","log2FoldChange_species_ref","padj_species_ref","SYMBOL_species_ref","differs","significance","SYMBOL"
"191","ENSG00000136147",2.1172091882475,1.96738669670006e-62,"PHF11",2.06128007009309,1.1619016260117e-59,"PHF11","not","sig","PHF11"
"192","ENSG00000103966",2.16699517551646,4.26845254657161e-62,"EHD4",2.17709108454812,9.37370675990466e-65,"EHD4","not","sig","EHD4"
"193","ENSG00000112941",2.21688420460209,4.90947679744426e-62,"PAPD7",2.20938533404654,6.34595351327315e-61,"PAPD7","not","sig","PAPD7"
"194","ENSG00000205302",1.80667357739803,1.14925281845591e-61,"SNX2",1.75675001003227,4.29699688783187e-58,"SNX2","not","sig","SNX2"
"195","ENSG00000128342",5.00588054616083,1.42799497029791e-61,"LIF",5.04576305592561,2.50878018695956e-66,"LIF","not","sig","LIF"
"196","ENSG00000164308",3.29961309255946,2.03122228024391e-61,"ERAP2",3.2877903481546,3.57154820549128e-64,"ERAP2","not","sig","ERAP2"
"197","ENSG00000151726",2.29056276946081,6.0510130177779e-61,"ACSL1",2.26674195810969,1.07172080749301e-56,"ACSL1","not","sig","ACSL1"
"198","ENSG00000115942",1.62646216412717,8.04450093175166e-61,"ORC2",1.78229597314038,1.56708660499861e-51,"ORC2","not","sig","ORC2"
"199","ENSG00000110330",2.30088909481585,1.09820142130717e-60,"BIRC2",2.26139126394795,5.30330935332131e-57,"BIRC2","not","sig","BIRC2"
"200","ENSG00000136052",2.55945114434209,2.74110853041239e-60,"SLC41A2",2.53289203745374,1.62792112659724e-57,"SLC41A2","not","sig","SLC41A2"
"201","ENSG00000231925",2.67511100052533,6.80448799163291e-60,"TAPBP",2.59802103179431,8.48658055352684e-59,"TAPBP","not","sig","TAPBP"
"202","ENSG00000113389",-3.56320929223868,1.07528825387194e-59,"NPR3",-3.58053745375168,8.72286074009085e-60,"NPR3","not","sig","NPR3"
"203","ENSG00000151466",1.61149915499831,3.99855807330889e-59,"SCLT1",1.57766733265872,5.14344340475761e-55,"SCLT1","not","sig","SCLT1"
"204","ENSG00000167034",5.69846388209746,4.02760999102866e-59,"NKX3-1",5.60931978247347,3.60870897857982e-75,"NKX3-1","not","sig","NKX3-1"
"205","ENSG00000146457",2.00955885518532,4.77632301366236e-59,"WTAP",1.82154358752883,1.07501720796581e-51,"WTAP","not","sig","WTAP"
"206","ENSG00000003400",3.25308455620467,5.29016454260782e-59,"CASP10",3.2309919969629,1.17060881879643e-52,"CASP10","not","sig","CASP10"
