"","species","correlation"
"1","bonobo","0.993"
"2","chimpanzee","0.985"
"3","gorilla","0.992"
"4","olive_baboon","0.979"
"5","orangutan","0.989"
"6","pigtailed_macaque","0.985"
"7","rhesus_macaque","0.977"
"8","squirrel_monkey","0.975"
