"","X","log2FoldChange_human_ref","padj_human_ref","SYMBOL_human_ref","log2FoldChange_species_ref","padj_species_ref","SYMBOL_species_ref","differs","significance","SYMBOL"
"375","ENSG00000135047",1.9701887643339,8.41107462442756e-36,"CTSL",1.96184535561469,7.73322833368861e-37,"CTSL","not","sig","CTSL"
"376","ENSG00000144596",6.77272066740393,8.41107462442756e-36,"GRIP2",7.74293063031223,3.5690741974368e-34,"GRIP2","not","sig","GRIP2"
"377","ENSG00000204264",2.56622057077296,1.07495003429468e-35,"PSMB8",2.55491452714621,2.69748779011375e-36,"PSMB8","not","sig","PSMB8"
"378","ENSG00000157456",-1.71586223048554,1.1486122554259e-35,"CCNB2",-1.72081746434304,9.06190968811111e-37,"CCNB2","not","sig","CCNB2"
"379","ENSG00000164136",3.94616987450944,1.49034021374505e-35,"IL15",3.91145557366764,3.81895499521757e-33,"IL15","not","sig","IL15"
"380","ENSG00000158470",1.47817812516397,1.89338194473115e-35,"B4GALT5",1.46437315472852,1.35809655332968e-34,"B4GALT5","not","sig","B4GALT5"
"381","ENSG00000136147",1.74774658437283,1.94572555402005e-35,"PHF11",1.72586716172403,1.6876088028381e-32,"PHF11","not","sig","PHF11"
"382","ENSG00000130202",1.52764295820753,3.44933485370796e-35,"NECTIN2",1.44105648941084,6.36722451171214e-40,"NECTIN2","not","sig","NECTIN2"
"383","ENSG00000111907",-3.14238438939395,3.93881101852014e-35,"TPD52L1",-3.21860904109363,1.03354560270786e-36,"TPD52L1","not","sig","TPD52L1"
"384","ENSG00000173482",-1.1840371736386,4.53973340179493e-35,"PTPRM",-1.20287683713602,1.13572535158642e-28,"PTPRM","not","sig","PTPRM"
"385","ENSG00000151136",4.19855599404846,6.18394008232572e-35,"BTBD11",4.22669382066754,1.2593493113997e-27,"BTBD11","not","sig","BTBD11"
"386","ENSG00000163162",1.49564453063998,1.29310594624889e-34,"RNF149",1.29977548653114,4.09471490020602e-23,"RNF149","not","sig","RNF149"
"387","ENSG00000133110",-2.77295092012186,1.30007430311867e-34,"POSTN",-2.78536704529227,2.13490249590941e-34,"POSTN","not","sig","POSTN"
"388","ENSG00000174748",-1.16443618047706,1.99827862660927e-34,"RPL15",-1.13295761288949,6.07676873204389e-28,"RPL15","not","sig","RPL15"
"389","ENSG00000173530",-1.9009216708783,2.03185866801605e-34,"TNFRSF10D",-1.93733496427337,2.45077836307856e-35,"TNFRSF10D","not","sig","TNFRSF10D"
"390","ENSG00000124882",5.25083517415863,2.9529549187608e-34,"EREG",6.06874391937,3.10550745658131e-19,"EREG","not","sig","EREG"
"391","ENSG00000170624",-2.10205684832959,3.4335795127086e-34,"SGCD",-1.24423848931369,1.61931228045512e-10,"SGCD","different","sig","SGCD"
"392","ENSG00000072121",1.45730057993327,3.70119456510155e-34,"ZFYVE26",1.3644285035978,2.23009236577538e-32,"ZFYVE26","not","sig","ZFYVE26"
"393","ENSG00000165806",1.24822501225329,4.39523117023843e-34,"CASP7",1.23462705646084,9.20931739361078e-31,"CASP7","not","sig","CASP7"
"394","ENSG00000146232",2.70528108715971,4.95202427406951e-34,"NFKBIE",2.70070594563632,1.07518498138803e-31,"NFKBIE","not","sig","NFKBIE"
"395","ENSG00000142961",1.82299672374288,8.06107760684891e-34,"MOB3C",1.84365363570396,1.0173678516369e-34,"MOB3C","not","sig","MOB3C"
"396","ENSG00000028137",1.62394124974654,9.30205855391028e-34,"TNFRSF1B",1.61240750435139,5.13276740793588e-34,"TNFRSF1B","not","sig","TNFRSF1B"
"397","ENSG00000128335",1.99982999623334,1.20914074635129e-33,"APOL2",1.9792196581496,5.51987393825014e-36,"APOL2","not","sig","APOL2"
"398","ENSG00000041357",1.43638766665185,1.28153406646457e-33,"PSMA4",1.39591875916659,1.75491415054913e-29,"PSMA4","not","sig","PSMA4"
"399","ENSG00000164307",1.68303355450592,3.35275126861085e-33,"ERAP1",1.61426731387609,8.35033754522839e-23,"ERAP1","not","sig","ERAP1"
